Categoría 1	Descripción (categoría 1)	Categoría 2	Descripción (categoría 2)	Categoría 3	Descripción (categoría 3)	Categoría 4	Descripción (categoría 4)	Categoría 5	Descripción (categoría 5)	Categoría 6	Descripción (categoría 6)	Categoría 7	Descripción (categoría 7)	Categoría 8	Descripción (categoría 8)	Categoría 9	Descripción (categoría 9)	Impuesto	Nota explicativa 1. Incluye	Nota explicativa 2. Excluye
0	Productos de la agricultura, silvicultura y pesca	01	Productos de la agricultura, horticultura y jardinería comercial	011	Cereales	0111	Trigo	01111	Trigo, para siembra (semillas)	0111100	Trigo, para siembra (semillas)	011110000	Trigo, para siembra (semillas)	01111000001	Trigo duro, para siembra (semillas)	0111100000100	Trigo duro, para siembra (semillas)	1%		
0	Productos de la agricultura, silvicultura y pesca	01	Productos de la agricultura, horticultura y jardinería comercial	011	Cereales	0111	Trigo	01111	Trigo, para siembra (semillas)	0111100	Trigo, para siembra (semillas)	011110000	Trigo, para siembra (semillas)	01111000099	Trigo, para siembra (semillas), excepto duro	0111100009900	Trigo, para siembra (semillas), excepto duro	1%		
0	Productos de la agricultura, silvicultura y pesca	01	Productos de la agricultura, horticultura y jardinería comercial	011	Cereales	0111	Trigo	01112	Trigo, excepto para siembra	0111200	Trigo, excepto para siembra	011120000	Trigo, excepto para siembra	01112000001	Trigo duro, excepto para siembra	0111200000100	Trigo duro, excepto para siembra	1%		
0	Productos de la agricultura, silvicultura y pesca	01	Productos de la agricultura, horticultura y jardinería comercial	011	Cereales	0111	Trigo	01112	Trigo, excepto para siembra	0111200	Trigo, excepto para siembra	011120000	Trigo, excepto para siembra	01112000002	Trigo, para producción de alimento para animales 	0111200000200	Trigo, para producción de alimento para animales 	1%		
0	Productos de la agricultura, silvicultura y pesca	01	Productos de la agricultura, horticultura y jardinería comercial	011	Cereales	0111	Trigo	01112	Trigo, excepto para siembra	0111200	Trigo, excepto para siembra	011120000	Trigo, excepto para siembra	01112000099	Trigo, n.c.p.	0111200009900	Trigo, n.c.p.	1%	"i) Trigo de primavera
ii) Trigo de invierno
iii) Trigo blando
iv) Trigo rojo y blanco
v) Trigo durum"	
0	Productos de la agricultura, silvicultura y pesca	01	Productos de la agricultura, horticultura y jardinería comercial	011	Cereales	0112	Maíz	01121	Maíz, para siembra (semillas)	0112100	Maíz, para siembra (semillas)	011210000	Maíz, para siembra (semillas)	01121000000	Maíz, para siembra (semillas)	0112100000000	Maíz, para siembra (semillas)	1%		
0	Productos de la agricultura, silvicultura y pesca	01	Productos de la agricultura, horticultura y jardinería comercial	011	Cereales	0112	Maíz	01122	Maíz, excepto para siembra	0112201	Maíz blanco 	011220101	Maíz blanco, desgranado, seco	01122010101	Maíz blanco, desgranado, seco, para consumo humano	0112201010100	Maíz blanco, desgranado, seco, para consumo humano	1%		
0	Productos de la agricultura, silvicultura y pesca	01	Productos de la agricultura, horticultura y jardinería comercial	011	Cereales	0112	Maíz	01122	Maíz, excepto para siembra	0112201	Maíz blanco 	011220101	Maíz blanco, desgranado, seco	01122010102	Maíz blanco, desgranado, seco, para producción de alimento para animales	0112201010200	Maíz blanco, desgranado, seco, para producción de alimento para animales	1%		
0	Productos de la agricultura, silvicultura y pesca	01	Productos de la agricultura, horticultura y jardinería comercial	011	Cereales	0112	Maíz	01122	Maíz, excepto para siembra	0112201	Maíz blanco 	011220102	Maíz blanco, en mazorca, seco	01122010201	Maíz blanco, en mazorca, seco, para consumo humano	0112201020100	Maíz blanco, en mazorca, seco, para consumo humano	1%		
0	Productos de la agricultura, silvicultura y pesca	01	Productos de la agricultura, horticultura y jardinería comercial	011	Cereales	0112	Maíz	01122	Maíz, excepto para siembra	0112201	Maíz blanco 	011220102	Maíz blanco, en mazorca, seco	01122010202	Maíz blanco, en mazorca, seco, para producción de alimento para animales	0112201020200	Maíz blanco, en mazorca, seco, para producción de alimento para animales	1%		
